taste +                
intensity of taste +   
authenticity of taste +
natural taste +        
homemade taste +       
smell +                
thickness +            
degree of creamy +     
degree of salt +       
colour +               
appearance +           
homemade appearance +  
taste -                
intensity of taste -   
authenticity of taste -
natural taste -        
homemade taste -       
smell -                
thickness -            
degree of creamy -     
degree of salt -       
colour -               
appearance -           
homemade appearance -  
